   cycle        dt        T[K]         rho          v_r        e_int       delta_u       rt_src        rt_de        rt_Fb        rt_Ft        rt_Em  rt_clip     T[i-4]     T[i-2]     T[i+2]     T[i+4]
  138811    9.4411  1.6353e+03  3.3373e-12  -5.9413e+05   9.8004e-01   3.37136e-02  -6.6173e-04  -3.1888e-03   1.6972e+09   1.6972e+09   1.2816e-03    0.000       1455       1783       1402       1342
  138812    9.5135  1.6373e+03  3.3560e-12  -5.8794e+05   9.9389e-01   6.00322e-02  -6.6676e-04  -3.1087e-03   1.6997e+09   1.6997e+09   1.2924e-03    0.000       1492       1791       1403       1343
  138813    9.5992  1.6405e+03  3.3792e-12  -5.8232e+05   1.0160e+00   8.27619e-02  -6.7500e-04  -3.1713e-03   1.7021e+09   1.7022e+09   1.3076e-03    0.000       1525       1799       1403       1344
  138814    9.7122  1.6451e+03  3.4052e-12  -5.7717e+05   1.0471e+00   1.02491e-01  -6.8613e-04  -3.2529e-03   1.7046e+09   1.7047e+09   1.3270e-03    0.000       1554       1804       1404       1345
  138815    9.8588  1.6512e+03  3.4331e-12  -5.7248e+05   1.0882e+00   1.21178e-01  -7.0016e-04  -3.3589e-03   1.7071e+09   1.7072e+09   1.3504e-03    0.000       1579       1818       1405       1346
  138816    9.9564  1.6612e+03  3.4622e-12  -5.6806e+05   1.1399e+00   1.38435e-01  -7.0103e-04  -3.4153e-03   1.7096e+09   1.7097e+09   1.3634e-03    0.000       1598       1826       1400       1347
  138817    9.8553  1.6704e+03  3.4916e-12  -5.6396e+05   1.2067e+00   1.58946e-01  -7.1838e-04  -3.5354e-03   1.7121e+09   1.7122e+09   1.3946e-03    0.000       1616       1832       1401       1347
  138818    9.7302  1.6813e+03  3.5203e-12  -5.6021e+05   1.2962e+00   1.84070e-01  -7.3240e-04  -3.5698e-03   1.7146e+09   1.7146e+09   1.4301e-03    0.000       1627       1835       1402       1348
  138819    9.2855  1.6944e+03  3.5480e-12  -5.5741e+05   1.3938e+00   1.95584e-01  -7.4306e-04  -3.5784e-03   1.7170e+09   1.7170e+09   1.4613e-03    0.000       1643       1837       1401       1348
  138820    9.2591  1.7072e+03  3.5727e-12  -5.5552e+05   1.5095e+00   2.11121e-01  -7.4291e-04  -3.4179e-03   1.7192e+09   1.7192e+09   1.4738e-03    0.000       1655       1837       1402       1349
  138821    9.2819  1.7186e+03  3.5978e-12  -5.5399e+05   1.6097e+00   2.02464e-01  -7.1361e-04  -3.2761e-03   1.7217e+09   1.7218e+09   1.4590e-03    0.000       1673       1837       1401       1350
  138822    9.1306  1.7304e+03  3.6253e-12  -5.5254e+05   1.7366e+00   2.42276e-01  -7.1649e-04  -3.2992e-03   1.7243e+09   1.7244e+09   1.4582e-03    0.000       1690       1837       1403       1351
  138823    9.2574  1.7440e+03  3.6541e-12  -5.5116e+05   1.8757e+00   2.65120e-01  -7.1319e-04  -3.2330e-03   1.7269e+09   1.7269e+09   1.4500e-03    0.000       1705       1838       1403       1352
  138824    9.3550  1.7581e+03  3.6848e-12  -5.4988e+05   2.0467e+00   3.11966e-01  -7.2189e-04  -3.3194e-03   1.7294e+09   1.7295e+09   1.4543e-03    0.000       1720       1838       1404       1353
  138825    9.5447  1.7740e+03  3.7168e-12  -5.4867e+05   2.2381e+00   3.47637e-01  -7.2440e-04  -3.3678e-03   1.7320e+09   1.7320e+09   1.4519e-03    0.000       1733       1844       1404       1354
  138826    9.6285  1.7907e+03  3.7497e-12  -5.4759e+05   2.5136e+00   4.49514e-01  -7.6769e-04  -3.6429e-03   1.7345e+09   1.7346e+09   1.4597e-03    0.000       1744       1860       1406       1355
  138827    9.6962  1.8194e+03  3.7824e-12  -5.4663e+05   2.8660e+00   5.42875e-01  -7.8840e-04  -3.7768e-03   1.7371e+09   1.7371e+09   1.4697e-03    0.000       1755       1871       1407       1356
  138828    9.6888  1.8439e+03  3.8137e-12  -5.4573e+05   3.2464e+00   5.87708e-01  -8.1298e-04  -3.9238e-03   1.7396e+09   1.7397e+09   1.4897e-03    0.000       1765       1881       1409       1356
  138829    9.6858  1.8685e+03  3.8434e-12  -5.4501e+05   3.6650e+00   6.50644e-01  -8.5824e-04  -4.1407e-03   1.7423e+09   1.7423e+09   1.5343e-03    0.000       1775       1890       1414       1356
  138830    9.6846  1.8962e+03  3.8678e-12  -5.4394e+05   4.1182e+00   6.95325e-01  -9.0024e-04  -4.3435e-03   1.7448e+09   1.7449e+09   1.5816e-03    0.000       1785       1898       1417       1356
  138831    9.6943  1.9248e+03  3.8848e-12  -5.4281e+05   4.5797e+00   7.02777e-01  -8.1049e-04  -3.9133e-03   1.7477e+09   1.7478e+09   1.3674e-03    0.000       1798       1907       1418       1356
  138832    9.4705  1.9563e+03  3.8944e-12  -5.4140e+05   5.0701e+00   7.34358e-01  -7.3409e-04  -3.5501e-03   1.7507e+09   1.7508e+09   1.1899e-03    0.000       1809       1915       1421       1357
  138833    9.1555  1.9937e+03  3.8973e-12  -5.3968e+05   5.5630e+00   7.35994e-01  -6.7990e-04  -3.2137e-03   1.7537e+09   1.7538e+09   1.0607e-03    0.000       1820       1925       1422       1357
  138834    9.2225  2.0413e+03  3.8940e-12  -5.3767e+05   6.0544e+00   7.25614e-01  -6.5619e-04  -2.9994e-03   1.7566e+09   1.7566e+09   9.8238e-04    0.000       1830       1935       1425       1358
  138835    9.2036  2.1185e+03  3.8837e-12  -5.3514e+05   6.5503e+00   7.23305e-01  -6.5612e-04  -3.0216e-03   1.7595e+09   1.7595e+09   9.3226e-04    0.000       1840       1946       1427       1358
  138836    9.2741  2.4259e+03  3.8674e-12  -5.3122e+05   7.0459e+00   7.12821e-01  -7.3391e-04  -3.3729e-03   1.7624e+09   1.7625e+09   1.0034e-03    0.000       1851       1952       1430       1359
  138837    9.3354  3.7580e+03  3.8441e-12  -5.2195e+05   7.5181e+00   6.70807e-01  -1.8504e-03  -8.5573e-03   1.7661e+09   1.7662e+09   2.1923e-03    0.000       1861       1962       1431       1360
  138838    9.3792  4.8852e+03  3.8105e-12  -5.0681e+05   7.9084e+00   5.62565e-01  -1.6678e-02  -7.6099e-02   1.7728e+09   1.7740e+09   1.9489e-02    0.000       1871       1976       1438       1366
  138839    9.4192  5.3058e+03  3.7699e-12  -4.9028e+05   8.1499e+00   4.08694e-01  -4.3142e-02  -1.9124e-01   1.7779e+09   1.7811e+09   5.0097e-02    0.000       1884       2008       1473       1410
  138840    9.4671  5.4362e+03  3.7282e-12  -4.7538e+05   8.2886e+00   3.21508e-01  -5.7310e-02  -2.5078e-01   1.7808e+09   1.7850e+09   6.6060e-02    0.000       1904       2041       1519       1462
  138841    9.5469  5.5123e+03  3.6881e-12  -4.6005e+05   8.3639e+00   2.76518e-01  -6.7283e-02  -2.9239e-01   1.7835e+09   1.7885e+09   7.7052e-02    0.000       1926       2079       1557       1504
  138842    9.6446  5.5782e+03  3.6424e-12  -4.4733e+05   8.3990e+00   2.45512e-01  -7.7121e-02  -3.3387e-01   1.7861e+09   1.7918e+09   8.7867e-02    0.000       1953       2132       1588       1537
  138843    9.7690  5.6342e+03  3.5898e-12  -4.3685e+05   8.4032e+00   2.19108e-01  -8.6009e-02  -3.7182e-01   1.7887e+09   1.7950e+09   9.7584e-02    0.000       1984       2298       1615       1565
  138844    9.7783  5.6836e+03  3.5306e-12  -4.2833e+05   8.3868e+00   2.01766e-01  -9.3495e-02  -4.0471e-01   1.7919e+09   1.7988e+09   1.0650e-01    0.000       2018       3821       1640       1590
  138845    9.7231  5.7278e+03  3.4672e-12  -4.2168e+05   8.3524e+00   1.84456e-01  -1.0081e-01  -4.3260e-01   1.7955e+09   1.8029e+09   1.1466e-01    0.000       2054       4782       1662       1612
  138846    9.7793  5.7672e+03  3.4010e-12  -4.1671e+05   8.3019e+00   1.66398e-01  -1.0803e-01  -4.5724e-01   1.7976e+09   1.8056e+09   1.2202e-01    0.000       2181       3397       1684       1633
  138847    9.8388  5.8038e+03  3.3308e-12  -4.1309e+05   8.2425e+00   1.53685e-01  -1.1301e-01  -4.7667e-01   1.8010e+09   1.8093e+09   1.2887e-01    0.000       2883       3967       1703       1651
  138848    9.9124  5.8394e+03  3.2575e-12  -4.1043e+05   8.1596e+00   1.29420e-01  -1.1969e-01  -5.0311e-01   1.8036e+09   1.8124e+09   1.3536e-01    0.000       4056       4841       1724       1670
  138849   10.0112  5.8628e+03  3.1866e-12  -4.0838e+05   8.0688e+00   1.28957e-01  -1.2217e-01  -5.1388e-01   1.8062e+09   1.8151e+09   1.3881e-01    0.000       3957       5379       1742       1686
  138850    9.8690  5.8862e+03  3.1186e-12  -4.0682e+05   7.9815e+00   1.35739e-01  -1.2363e-01  -5.2129e-01   1.8099e+09   1.8190e+09   1.4243e-01    0.000       4188       5736       1762       1702
