   cycle        dt        T[K]         rho          v_r        e_int       delta_u       rt_src        rt_de        rt_Fb        rt_Ft        rt_Em  rt_clip     T[i-4]     T[i-2]     T[i+2]     T[i+4]
  139089    0.4872  1.0311e+05  2.4558e-10   2.4048e+07   9.1457e+03  -2.83921e+02   4.1796e+05   3.1943e+01   9.3139e+14   9.0073e+14   2.9857e+07    0.000  8.874e+04  9.457e+04  1.142e+05  1.268e+05
  139094    0.4972  9.7771e+04  2.5294e-10   2.3413e+07   9.1382e+03  -3.34416e+02   3.3103e+05   3.0498e+01   5.1760e+14   4.9332e+14   2.4751e+07    0.000  8.325e+04  8.934e+04  1.085e+05  1.212e+05
  139099    0.5075  9.2817e+04  2.6035e-10   2.2818e+07   9.1348e+03  -2.73447e+02   2.0969e+05   2.3265e+01   3.1912e+14   3.0374e+14   2.0555e+07    0.000  7.846e+04  8.469e+04  1.029e+05  1.152e+05
  139104    0.5180  8.8264e+04  2.6909e-10   2.2270e+07   9.1856e+03  -1.52421e+02   1.3916e+05   1.8472e+01   1.9762e+14   1.8741e+14   1.7281e+07    0.000  7.425e+04  8.051e+04  9.771e+04  1.093e+05
  139109    0.5281  8.3973e+04  2.7975e-10   2.1765e+07   9.3004e+03  -3.27958e+01   8.9842e+04   1.4235e+01   1.2992e+14   1.2333e+14   1.4662e+07    0.000  7.051e+04  7.663e+04  9.274e+04  1.036e+05
  139114    0.5375  7.9763e+04  2.9212e-10   2.1294e+07   9.4604e+03   4.19883e+01   8.5062e+04   1.6167e+01   6.3290e+13   5.7050e+13   1.2431e+07    0.000  6.703e+04  7.287e+04   8.79e+04  9.804e+04
  139119    0.5475  7.5810e+04  3.0531e-10   2.0839e+07   9.6406e+03   3.75848e+01   8.0514e+04   1.8299e+01   2.2361e+13   1.6455e+13   1.0592e+07    0.000  6.388e+04  6.941e+04  8.349e+04  9.303e+04
  139124    0.5577  7.1779e+04  3.1812e-10   2.0389e+07   9.7816e+03  -4.05823e+01   7.3740e+04   2.0388e+01   5.3945e+12  -1.4637e+10   8.8337e+06    0.000   6.08e+04  6.595e+04    7.9e+04  8.789e+04
  139129    0.5677  6.7931e+04  3.2942e-10   1.9934e+07   9.8665e+03  -1.65678e+02   5.7569e+04   1.9483e+01   1.2747e+13   8.5236e+12   7.2807e+06    0.000   5.79e+04  6.264e+04  7.467e+04  8.302e+04
  139134    0.5783  6.4224e+04  3.3881e-10   1.9467e+07   9.8882e+03  -2.89129e+02   4.4192e+04   1.8440e+01   2.4085e+13   2.0843e+13   5.9181e+06    0.000  5.512e+04  5.946e+04   7.04e+04  7.824e+04
  139139    0.5917  6.0759e+04  3.4652e-10   1.8986e+07   9.8632e+03  -3.85197e+02   3.0082e+04   1.5477e+01   4.1300e+13   3.9094e+13   4.7886e+06    0.000  5.249e+04  5.648e+04  6.637e+04  7.368e+04
  139144    0.6044  5.7589e+04  3.5304e-10   1.8493e+07   9.8166e+03  -4.46935e+02   2.1249e+04   1.3413e+01   5.3374e+13   5.1815e+13   3.8851e+06    0.000  5.009e+04  5.372e+04  6.265e+04   6.94e+04
  139149    0.6150  5.4617e+04  3.5887e-10   1.7992e+07   9.7566e+03  -4.78274e+02   1.3207e+04   1.0219e+01   6.5379e+13   6.4411e+13   3.1507e+06    0.000  4.785e+04  5.112e+04  5.914e+04  6.527e+04
  139154    0.6256  5.1948e+04  3.6434e-10   1.7492e+07   9.7039e+03  -4.81104e+02   1.0672e+04   1.0013e+01   6.9005e+13   6.8222e+13   2.5842e+06    0.000  4.584e+04  4.879e+04    5.6e+04  6.156e+04
  139159    0.6368  4.9454e+04  3.6966e-10   1.7000e+07   9.6521e+03  -4.75160e+02   5.6232e+03   6.3772e+00   7.6179e+13   7.5766e+13   2.1270e+06    0.000  4.398e+04  4.664e+04  5.307e+04  5.803e+04
  139164    0.6472  4.7057e+04  3.7459e-10   1.6521e+07   9.5922e+03  -4.66646e+02   4.6247e+03   6.3467e+00   7.6822e+13   7.6482e+13   1.7467e+06    0.000  4.224e+04  4.457e+04  5.029e+04   5.47e+04
  139169    0.6592  4.4841e+04  3.7936e-10   1.6059e+07   9.5318e+03  -4.43496e+02   2.2298e+03   3.6890e+00   7.9149e+13   7.8985e+13   1.4400e+06    0.000  4.068e+04  4.267e+04  4.771e+04  5.159e+04
  139174    0.6705  4.2808e+04  3.8434e-10   1.5617e+07   9.4801e+03  -4.04753e+02   2.5195e+03   4.9970e+00   7.5567e+13   7.5382e+13   1.1946e+06    0.000  3.927e+04  4.092e+04   4.53e+04   4.87e+04
  139179    0.6836  4.1006e+04  3.8969e-10   1.5194e+07   9.4332e+03  -3.74120e+02   8.9842e+02   2.1036e+00   7.3807e+13   7.3742e+13   1.0070e+06    0.000  3.806e+04   3.94e+04  4.312e+04  4.613e+04
  139184    0.6923  3.9371e+04  3.9541e-10   1.4790e+07   9.3774e+03  -3.41845e+02   1.0604e+03   2.8948e+00   6.7381e+13   6.7303e+13   8.5853e+05    0.000  3.696e+04  3.807e+04  4.115e+04  4.375e+04
  139189    0.7013  3.7969e+04  4.0163e-10   1.4406e+07   9.3063e+03  -3.14720e+02  -4.2672e+02  -1.3317e+00   6.2311e+13   6.2342e+13   7.4550e+05    0.000  3.595e+04  3.689e+04  3.943e+04   4.16e+04
  139194    0.7097  3.6648e+04  4.0845e-10   1.4039e+07   9.1931e+03  -2.93140e+02  -1.7079e+03  -6.0338e+00   5.5159e+13   5.5284e+13   6.5068e+05    0.000   3.49e+04  3.574e+04  3.778e+04  3.945e+04
  139199    0.7121  3.5456e+04  4.1573e-10   1.3690e+07   9.0534e+03  -2.67375e+02  -5.3772e+02  -2.1127e+00   4.1638e+13   4.1677e+13   5.7584e+05    0.000  3.376e+04  3.462e+04   3.64e+04  3.771e+04
  139204    0.6972  6.0170e+04  4.2258e-10   1.3362e+07   1.2449e+04   8.75997e+02   1.6314e+06   8.2692e+02  -2.9815e+15  -3.1011e+15   5.9025e+06    0.000  4.797e+04  5.448e+04  6.573e+04  7.179e+04
  139209    0.6998  1.0691e+05  4.2504e-10   1.3072e+07   1.6367e+04   2.82602e+02   7.6873e+06   4.5456e+02  -1.4433e+16  -1.4997e+16   6.8189e+07    0.000  9.057e+04  9.799e+04  1.164e+05  1.263e+05
  139214    0.7083  1.2674e+05  4.2664e-10   1.2818e+07   1.8064e+04   7.47491e+00   7.5606e+06   2.4004e+02  -1.6249e+16  -1.6804e+16   1.4119e+08    0.000  1.091e+05   1.17e+05  1.376e+05  1.489e+05
  139219    0.7204  1.3238e+05  4.3075e-10   1.2583e+07   1.8656e+04  -1.20205e+02   3.6633e+06   9.9401e+01  -1.0088e+16  -1.0356e+16   1.7141e+08    0.000  1.152e+05  1.227e+05  1.432e+05  1.547e+05
  139224    0.7371  1.2774e+05  4.3684e-10   1.2362e+07   1.8448e+04  -2.16013e+02  -4.1120e+04  -1.2718e+00  -3.1130e+15  -3.1100e+15   1.4912e+08    0.000  1.124e+05   1.19e+05  1.376e+05  1.482e+05
  139229    0.7626  1.1777e+05  4.4440e-10   1.2151e+07   1.7833e+04  -2.40388e+02  -1.0997e+06  -4.5867e+01  -5.2070e+13   2.8599e+13   1.0703e+08    0.000  1.049e+05  1.105e+05  1.262e+05  1.353e+05
  139234    0.8053  1.0631e+05  4.5356e-10   1.1947e+07   1.7123e+04  -2.11420e+02  -1.0238e+06  -6.2370e+01   8.4337e+14   9.1847e+14   7.0386e+07    0.000  9.584e+04  1.005e+05  1.131e+05  1.206e+05
  139239    0.8359  9.4861e+04  4.6556e-10   1.1750e+07   1.6477e+04  -1.47259e+02  -7.3100e+05  -6.7978e+01   9.4205e+14   9.9567e+14   4.4380e+07    0.000  8.661e+04  9.028e+04  1.002e+05  1.061e+05
  139244    0.8669  8.4343e+04  4.8114e-10   1.1562e+07   1.5988e+04  -4.90205e+01  -4.5789e+05  -6.5960e+01   7.7979e+14   8.1338e+14   2.7798e+07    0.000  7.797e+04  8.077e+04  8.848e+04  9.294e+04
  139249    0.8708  7.5271e+04  5.0140e-10   1.1379e+07   1.5727e+04   4.88974e+01  -2.8402e+05  -6.2455e+01   6.0839e+14   6.2922e+14   1.7912e+07    0.000  7.025e+04  7.245e+04  7.847e+04  8.189e+04
  139254    0.8815  6.7354e+04  5.2560e-10   1.1199e+07   1.5630e+04   1.07522e+02  -1.8946e+05  -6.2917e+01   4.9506e+14   5.0896e+14   1.1789e+07    0.000  6.342e+04  6.515e+04  6.988e+04  7.249e+04
  139259    0.8978  6.0282e+04  5.5276e-10   1.1018e+07   1.5634e+04   1.44564e+02  -1.2304e+05  -6.1723e+01   3.9648e+14   4.0550e+14   7.8059e+06    0.000  5.736e+04  5.864e+04  6.231e+04  6.425e+04
  139264    0.9176  5.4120e+04  5.8275e-10   1.0834e+07   1.5744e+04   1.74859e+02  -7.8140e+04  -5.8796e+01   3.1586e+14   3.2159e+14   5.2403e+06    0.000  5.209e+04  5.293e+04  5.563e+04  5.702e+04
  139269    0.9209  4.9146e+04  6.1492e-10   1.0647e+07   1.5995e+04   2.11860e+02  -3.0618e+04  -3.3133e+01   2.2047e+14   2.2271e+14   3.6977e+06    0.000   4.78e+04  4.827e+04  5.027e+04   5.14e+04
  139274    0.9307  4.5396e+04  6.4786e-10   1.0459e+07   1.6318e+04   1.82404e+02  -2.6845e+04  -3.9015e+01   2.0083e+14   2.0280e+14   2.8103e+06    0.000   4.46e+04  4.476e+04   4.63e+04   4.74e+04
  139279    0.9473  4.2231e+04  6.8041e-10   1.0270e+07   1.6618e+04   1.67932e+02  -1.6220e+04  -3.0945e+01   1.7029e+14   1.7148e+14   2.1794e+06    0.000  4.214e+04  4.199e+04   4.27e+04  4.348e+04
  139284    0.9701  4.0374e+04  7.1362e-10   1.0080e+07   1.7021e+04   1.66194e+02  -9.7520e+03  -2.1792e+01   1.4459e+14   1.4531e+14   1.9056e+06    0.000  4.054e+04  4.028e+04  4.072e+04  4.139e+04
  139289    0.9677  3.8859e+04  7.4707e-10   9.8918e+06   1.7353e+04   1.29512e+02  -1.2773e+04  -3.2513e+01   1.3622e+14   1.3715e+14   1.7059e+06    0.000  3.927e+04  3.892e+04  3.901e+04  3.937e+04
  139294    0.9699  3.7624e+04  7.8051e-10   9.7067e+06   1.7626e+04   1.12064e+02  -9.5463e+03  -2.6939e+01   1.1908e+14   1.1978e+14   1.5624e+06    0.000  3.821e+04  3.781e+04  3.761e+04   3.77e+04
  139299    0.9836  3.6943e+04  8.1320e-10   9.5226e+06   1.8014e+04   9.99197e+01  -3.8102e+03  -1.1263e+01   9.7951e+13   9.8231e+13   1.5242e+06    0.000  3.747e+04  3.708e+04  3.706e+04  3.739e+04
  139304    1.0037  3.6544e+04  8.4533e-10   9.3373e+06   1.8507e+04   1.26163e+02   9.3056e+03   2.8054e+01   6.3037e+13   6.2355e+13   1.5335e+06    0.000  3.691e+04  3.658e+04  3.687e+04  3.762e+04
  139309    1.0078  3.6329e+04  8.7738e-10   9.1507e+06   1.9041e+04   6.70131e+01   7.1919e+02   2.1758e+00   6.6124e+13   6.6072e+13   1.5736e+06    0.000  3.649e+04  3.625e+04  3.689e+04  3.808e+04
  139314    1.0081  3.5629e+04  9.0948e-10   8.9673e+06   1.9277e+04   8.55442e+00  -8.6959e+03  -2.7754e+01   7.2001e+13   7.2639e+13   1.5111e+06    0.000  3.579e+04  3.557e+04  3.611e+04  3.709e+04
  139319    1.0208  3.4695e+04  9.4148e-10   8.7852e+06   1.9362e+04  -2.74776e+01  -1.2158e+04  -4.1955e+01   6.8448e+13   6.9340e+13   1.4043e+06    0.000  3.491e+04  3.468e+04  3.506e+04  3.578e+04
  139324    1.0273  3.3582e+04  9.7318e-10   8.6029e+06   1.9384e+04  -5.42170e+01  -1.2409e+04  -4.7361e+01   5.9943e+13   6.0853e+13   1.2712e+06    0.000  3.382e+04  3.359e+04  3.389e+04  3.448e+04
  139329    1.0207  3.3041e+04  1.0037e-09   8.4241e+06   1.9753e+04   4.18564e+01   7.4609e+03   2.9753e+01   1.5507e+13   1.4960e+13   1.2377e+06    0.000  3.306e+04  3.294e+04  3.351e+04  3.431e+04
  139334    1.0291  3.2828e+04  1.0326e-09   8.2492e+06   2.0203e+04  -2.96625e+01  -1.2048e+00  -4.8551e-03   1.7581e+13   1.7582e+13   1.2535e+06    0.000  3.254e+04  3.256e+04  3.348e+04  3.453e+04
  139339    1.0463  3.1788e+04  1.0605e-09   8.0767e+06   2.0315e+04  -9.73554e+01  -7.5641e+03  -3.3871e+01   2.3656e+13   2.4211e+13   1.1352e+06    0.000  3.131e+04  3.141e+04  3.257e+04  3.376e+04
  139344    1.0253  2.9945e+04  1.0873e-09   7.9077e+06   2.0262e+04  -1.24930e+02  -8.2890e+03  -4.6079e+01   2.2187e+13   2.2795e+13   9.1224e+05    0.000  2.944e+04  2.954e+04  3.082e+04  3.224e+04
  139349    0.9881  2.7654e+04  1.1126e-09   7.7483e+06   2.0180e+04  -1.17997e+02  -5.2152e+03  -3.9430e+01   1.6783e+13   1.7165e+13   6.6782e+05    0.000   2.73e+04  2.736e+04  2.839e+04  2.982e+04
  139354    0.9459  3.0403e+04  1.1362e-09   7.5998e+06   2.1370e+04   1.15276e+02   2.2425e+04   1.1600e+02  -4.3040e+13  -4.4685e+13   1.0304e+06    0.000  2.939e+04  2.981e+04  3.136e+04   3.26e+04
  139359    0.8937  3.1335e+04  1.1572e-09   7.4681e+06   2.2013e+04  -2.35228e+01   4.6323e+03   2.1283e+01  -1.5937e+13  -1.6277e+13   1.1974e+06    0.000   3.02e+04   3.07e+04  3.228e+04  3.357e+04
  139364    0.8617  3.0569e+04  1.1775e-09   7.3492e+06   2.2130e+04  -7.87113e+01  -4.9445e+03  -2.4784e+01   1.0825e+12   1.4452e+12   1.1044e+06    0.000  2.933e+04  2.988e+04   3.16e+04  3.305e+04
  139369    0.8407  2.8958e+04  1.1979e-09   7.2391e+06   2.2052e+04  -9.26119e+01  -6.9126e+03  -4.2500e+01   7.5816e+12   8.0886e+12   8.9755e+05    0.000  2.777e+04  2.828e+04      3e+04  3.168e+04
  139374    0.8150  2.6958e+04  1.2184e-09   7.1363e+06   2.1920e+04  -8.50761e+01  -5.8779e+03  -4.7718e+01   9.3142e+12   9.7453e+12   6.7575e+05    0.000  2.597e+04  2.639e+04  2.784e+04  2.941e+04
  139379    0.7752  2.5311e+04  1.2400e-09   7.0434e+06   2.1924e+04   5.01427e+01   1.4883e+03   1.5471e+01  -1.7337e+12  -1.8429e+12   5.2721e+05    0.000  2.449e+04  2.485e+04  2.606e+04  2.729e+04
  139384    0.7516  2.9184e+04  1.2622e-09   6.9609e+06   2.3385e+04   2.60913e+02   2.5273e+04   1.4912e+02  -5.1743e+13  -5.3597e+13   9.8796e+05    0.000  2.785e+04  2.851e+04   3.01e+04  3.131e+04
  139389    0.7378  3.0466e+04  1.2840e-09   6.8887e+06   2.4109e+04   8.06883e+01   3.7481e+03   1.8664e+01  -1.8996e+13  -1.9270e+13   1.2102e+06    0.000  2.906e+04  2.978e+04  3.131e+04  3.245e+04
  139394    0.7313  2.9809e+04  1.3075e-09   6.8238e+06   2.4324e+04   3.61749e+01  -4.8307e+03  -2.5992e+01  -3.2590e+12  -2.9046e+12   1.1308e+06    0.000  2.839e+04   2.91e+04  3.071e+04  3.196e+04
  139399    0.7083  2.8356e+04  1.3328e-09   6.7645e+06   2.4363e+04   2.99554e+01  -6.8419e+03  -4.4518e+01   3.8824e+12   4.3843e+12   9.3693e+05    0.000  2.704e+04  2.768e+04  2.925e+04  3.061e+04
  139404    0.6854  2.6575e+04  1.3597e-09   6.7110e+06   2.4357e+04   4.35158e+01  -6.1062e+03  -5.1210e+01   6.6260e+12   7.0739e+12   7.2682e+05    0.000  2.548e+04  2.599e+04  2.736e+04  2.858e+04
  139409    0.6720  2.4755e+04  1.3886e-09   6.6618e+06   2.4367e+04   6.46313e+01  -4.6720e+03  -5.1797e+01   7.1780e+12   7.5207e+12   5.5004e+05    0.000  2.389e+04  2.427e+04   2.54e+04   2.64e+04
  139414    0.6658  2.5094e+04  1.4196e-09   6.6153e+06   2.5108e+04   3.26097e+02   1.1592e+04   1.2095e+02  -2.0256e+13  -2.1106e+13   5.9982e+05    0.000  2.411e+04  2.456e+04  2.578e+04   2.68e+04
  139419    0.6642  2.6347e+04  1.4516e-09   6.5719e+06   2.5966e+04   2.01084e+02   1.7074e+03   1.4560e+01  -7.9652e+12  -8.0904e+12   7.6117e+05    0.000  2.515e+04  2.573e+04  2.709e+04  2.813e+04
  139424    0.6600  2.5753e+04  1.4858e-09   6.5301e+06   2.6382e+04   1.50148e+02  -2.9029e+03  -2.6950e+01  -4.0420e+10   1.7252e+11   7.1085e+05    0.000  2.462e+04  2.517e+04  2.646e+04  2.742e+04
  139429    0.6404  2.4504e+04  1.5207e-09   6.4895e+06   2.6614e+04   1.23268e+02  -3.9195e+03  -4.4158e+01   3.6163e+12   3.9038e+12   5.9108e+05    0.000  2.356e+04    2.4e+04  2.513e+04  2.598e+04
  139434    0.6287  2.3058e+04  1.5557e-09   6.4495e+06   2.6771e+04   1.14788e+02  -3.3736e+03  -4.8306e+01   4.8364e+12   5.0839e+12   4.6782e+05    0.000  2.234e+04  2.265e+04  2.359e+04  2.432e+04
  139439    0.6220  2.5399e+04  1.5902e-09   6.4099e+06   2.8231e+04   6.97965e+02   3.2289e+04   3.1079e+02  -4.9122e+13  -5.1490e+13   7.3094e+05    0.000  2.416e+04  2.478e+04  2.612e+04  2.707e+04
  139444    0.6193  3.1035e+04  1.6196e-09   6.3736e+06   3.0662e+04   3.42604e+02   3.0416e+04   1.3262e+02  -5.8685e+13  -6.0916e+13   1.7552e+06    0.000  2.926e+04  3.022e+04  3.173e+04  3.247e+04
  139449    0.6082  3.1724e+04  1.6459e-09   6.3383e+06   3.1409e+04   1.25820e+02   2.8882e+03   1.1522e+01  -2.5656e+13  -2.5868e+13   1.9684e+06    0.000  2.999e+04  3.091e+04  3.245e+04   3.32e+04
  139454    0.5960  3.1107e+04  1.6699e-09   6.3025e+06   3.1566e+04   3.44925e+01  -8.5216e+03  -3.6352e+01  -8.8925e+12  -8.2674e+12   1.8512e+06    0.000  2.942e+04  3.026e+04  3.196e+04  3.286e+04
  139459    0.5875  2.9822e+04  1.6930e-09   6.2654e+06   3.1472e+04  -8.75140e+00  -1.1529e+04  -5.7555e+01  -9.4821e+10   7.5084e+11   1.5775e+06    0.000  2.832e+04  2.903e+04  3.077e+04  3.188e+04
  139464    0.5819  2.8165e+04  1.7152e-09   6.2269e+06   3.1277e+04  -2.97631e+01  -1.0385e+04  -6.4788e+01   4.2272e+12   4.9889e+12   1.2547e+06    0.000  2.696e+04  2.752e+04  2.905e+04  3.028e+04
  139469    0.5788  2.6410e+04  1.7368e-09   6.1873e+06   3.1053e+04  -3.59062e+01  -8.1242e+03  -6.5478e+01   6.0575e+12   6.6534e+12   9.6423e+05    0.000  2.552e+04  2.593e+04  2.714e+04  2.823e+04
  139474    0.5786  2.4775e+04  1.7587e-09   6.1462e+06   3.1058e+04   1.66711e+02   1.2677e+04   1.3198e+02  -1.6567e+13  -1.7497e+13   7.4201e+05    0.000  2.415e+04  2.443e+04  2.534e+04  2.621e+04
  139479    0.5810  2.9058e+04  1.7782e-09   6.1050e+06   3.2891e+04   4.25806e+02   4.5854e+04   2.5160e+02  -6.5297e+13  -6.8661e+13   1.4941e+06    0.000  2.755e+04  2.833e+04  2.978e+04  3.059e+04
  139484    0.5742  3.1114e+04  1.7931e-09   6.0653e+06   3.3926e+04   7.29216e+01   1.1493e+04   4.8250e+01  -3.2540e+13  -3.3383e+13   2.0193e+06    0.000  2.947e+04  3.035e+04  3.181e+04  3.252e+04
  139489    0.5682  3.0925e+04  1.8061e-09   6.0263e+06   3.4056e+04  -4.04595e+01  -4.5066e+03  -1.9310e+01  -1.3202e+13  -1.2872e+13   1.9877e+06    0.000  2.935e+04  3.017e+04  3.167e+04  3.247e+04
  139494    0.5654  2.9936e+04  1.8188e-09   5.9874e+06   3.3861e+04  -8.34795e+01  -1.0006e+04  -4.8513e+01  -2.8214e+12  -2.0875e+12   1.7472e+06    0.000  2.851e+04  2.924e+04  3.072e+04  3.167e+04
  139499    0.5653  2.8520e+04  1.8322e-09   5.9481e+06   3.3547e+04  -9.74695e+01  -1.0358e+04  -6.0760e+01   2.7097e+12   3.4695e+12   1.4311e+06    0.000  2.735e+04  2.794e+04  2.924e+04  3.025e+04
  139504    0.5674  2.6928e+04  1.8464e-09   5.9086e+06   3.3206e+04  -9.35795e+01  -8.7823e+03  -6.4781e+01   5.3946e+12   6.0388e+12   1.1265e+06    0.000  2.604e+04  2.649e+04  2.751e+04  2.841e+04
  139509    0.5718  2.5346e+04  1.8620e-09   5.8688e+06   3.2896e+04  -8.16446e+01  -6.7824e+03  -6.3799e+01   6.3137e+12   6.8113e+12   8.7511e+05    0.000  2.472e+04  2.503e+04  2.578e+04   2.65e+04
  139514    0.5776  2.6967e+04  1.8775e-09   5.8289e+06   3.3899e+04   4.31134e+02   3.5437e+04   2.5845e+02  -4.6176e+13  -4.8775e+13   1.1591e+06    0.000  2.581e+04  2.641e+04  2.754e+04  2.826e+04
  139519    0.5851  3.0992e+04  1.8891e-09   5.7907e+06   3.5703e+04   1.46729e+02   2.6144e+04   1.0995e+02  -4.7697e+13  -4.9615e+13   2.1199e+06    0.000  2.928e+04   3.02e+04  3.166e+04  3.229e+04
  139524    0.5822  3.1417e+04  1.8997e-09   5.7544e+06   3.6063e+04  -1.84236e+01   1.5125e+03   6.0256e+00  -2.2266e+13  -2.2377e+13   2.2633e+06    0.000  2.974e+04  3.064e+04   3.21e+04  3.277e+04
  139529    0.5809  3.0787e+04  1.9101e-09   5.7192e+06   3.5938e+04  -8.25256e+01  -8.6106e+03  -3.6993e+01  -8.3222e+12  -7.6906e+12   2.0925e+06    0.000  2.922e+04  3.003e+04  3.151e+04  3.228e+04
  139534    0.5816  2.9611e+04  1.9215e-09   5.6845e+06   3.5630e+04  -9.65591e+01  -1.1329e+04  -5.6584e+01  -4.7469e+11   3.5634e+11   1.7848e+06    0.000  2.825e+04  2.894e+04  3.032e+04  3.118e+04
  139539    0.5850  2.8151e+04  1.9355e-09   5.6503e+06   3.5290e+04  -8.50515e+01  -1.0598e+04  -6.4688e+01   3.7753e+12   4.5527e+12   1.4467e+06    0.000  2.707e+04  2.761e+04  2.875e+04  2.957e+04
  139544    0.5908  2.6600e+04  1.9515e-09   5.6163e+06   3.4968e+04  -7.61124e+01  -8.7510e+03  -6.7002e+01   5.8058e+12   6.4477e+12   1.1429e+06    0.000   2.58e+04   2.62e+04  2.705e+04  2.772e+04
  139549    0.5978  2.5073e+04  1.9686e-09   5.5825e+06   3.4673e+04  -6.59707e+01  -6.6456e+03  -6.4474e+01   6.3604e+12   6.8478e+12   8.9429e+05    0.000  2.452e+04  2.479e+04   2.54e+04   2.59e+04
  139554    0.5930  2.6924e+04  1.9854e-09   5.5492e+06   3.5868e+04   3.65549e+02   3.3229e+04   2.4024e+02  -4.2182e+13  -4.4620e+13   1.2358e+06    0.000  2.575e+04  2.635e+04  2.747e+04  2.808e+04
  139559    0.5919  2.8964e+04  1.9993e-09   5.5178e+06   3.6840e+04   8.25267e+01   9.0765e+03   4.8902e+01  -2.3064e+13  -2.3730e+13   1.7086e+06    0.000  2.744e+04  2.823e+04  2.963e+04  3.029e+04
  139564    0.5942  2.8838e+04  2.0125e-09   5.4876e+06   3.7002e+04  -2.07115e+01  -2.8650e+03  -1.5689e+01  -9.7797e+12  -9.5695e+12   1.6898e+06    0.000   2.74e+04  2.814e+04  2.949e+04  3.015e+04
  139569    0.5982  2.7937e+04  2.0262e-09   5.4577e+06   3.6865e+04  -5.35639e+01  -7.0741e+03  -4.3918e+01  -2.0618e+12  -1.5429e+12   1.4854e+06    0.000  2.672e+04  2.734e+04  2.852e+04  2.915e+04
  139574    0.6051  2.6700e+04  2.0425e-09   5.4277e+06   3.6646e+04  -5.36266e+01  -7.6945e+03  -5.7220e+01   2.2221e+12   2.7865e+12   1.2329e+06    0.000  2.574e+04  2.622e+04  2.718e+04  2.773e+04
  139579    0.5996  2.5335e+04  2.0610e-09   5.3976e+06   3.6410e+04  -4.79532e+01  -6.8323e+03  -6.2668e+01   4.3867e+12   4.8879e+12   9.9324e+05    0.000  2.463e+04  2.498e+04  2.571e+04  2.615e+04
  139584    0.5980  2.3972e+04  2.0805e-09   5.3675e+06   3.6184e+04  -4.49426e+01  -5.4965e+03  -6.2911e+01   5.2494e+12   5.6526e+12   7.9104e+05    0.000  2.349e+04  2.372e+04  2.425e+04  2.459e+04
  139589    0.6003  2.4519e+04  2.0999e-09   5.3373e+06   3.6931e+04   6.13774e+02   3.4760e+04   3.6043e+02  -3.8736e+13  -4.1285e+13   8.8690e+05    0.000  2.368e+04   2.41e+04  2.494e+04  2.539e+04
  139594    0.6054  2.9516e+04  2.1152e-09   5.3080e+06   3.9256e+04   2.22421e+02   2.7300e+04   1.3401e+02  -4.4533e+13  -4.6535e+13   1.9967e+06    0.000   2.77e+04  2.864e+04  3.028e+04  3.094e+04
  139599    0.6128  3.0186e+04  2.1295e-09   5.2793e+06   3.9784e+04   2.78576e+01   3.0060e+03   1.3502e+01  -2.2210e+13  -2.2430e+13   2.2142e+06    0.000  2.843e+04  2.933e+04  3.094e+04   3.16e+04
  139604    0.6225  2.9660e+04  2.1433e-09   5.2506e+06   3.9772e+04  -4.62070e+01  -6.5114e+03  -3.1309e+01  -9.8530e+12  -9.3754e+12   2.0688e+06    0.000   2.81e+04  2.889e+04  3.039e+04  3.108e+04
  139609    0.6253  2.8611e+04  2.1568e-09   5.2213e+06   3.9537e+04  -8.03345e+01  -9.4682e+03  -5.2499e+01  -2.4670e+12  -1.7725e+12   1.7839e+06    0.000  2.731e+04  2.796e+04  2.926e+04  2.994e+04
  139614    0.6274  2.7303e+04  2.1704e-09   5.1917e+06   3.9202e+04  -9.22459e+01  -9.3634e+03  -6.2601e+01   1.8426e+12   2.5295e+12   1.4671e+06    0.000  2.629e+04   2.68e+04  2.783e+04  2.841e+04
  139619    0.6322  2.5898e+04  2.1847e-09   5.1617e+06   3.8841e+04  -9.25413e+01  -8.0319e+03  -6.6403e+01   4.1389e+12   4.7281e+12   1.1755e+06    0.000  2.516e+04  2.553e+04  2.629e+04  2.675e+04
  139624    0.6395  2.4508e+04  2.2003e-09   5.1311e+06   3.8506e+04  -8.02866e+01  -6.3779e+03  -6.5822e+01   5.1008e+12   5.5687e+12   9.3353e+05    0.000  2.402e+04  2.426e+04  2.479e+04  2.513e+04
  139629    0.6490  2.4958e+04  2.2177e-09   5.0998e+06   3.9109e+04   2.58361e+02   1.5844e+04   1.5086e+02  -1.9141e+13  -2.0303e+13   1.0252e+06    0.000  2.413e+04  2.454e+04  2.538e+04  2.582e+04
  139634    0.6601  2.7106e+04  2.2342e-09   5.0685e+06   4.0319e+04   1.08356e+02   9.0026e+03   6.1148e+01  -1.8660e+13  -1.9321e+13   1.4832e+06    0.000  2.575e+04  2.644e+04  2.775e+04  2.836e+04
  139639    0.6732  2.7111e+04  2.2501e-09   5.0371e+06   4.0578e+04  -6.98752e+00  -1.6946e+03  -1.1492e+01  -8.1434e+12  -8.0191e+12   1.4963e+06    0.000  2.583e+04  2.648e+04  2.773e+04  2.833e+04
  139644    0.6823  2.6342e+04  2.2662e-09   5.0057e+06   4.0505e+04  -5.23703e+01  -5.4229e+03  -4.1262e+01  -2.0921e+12  -1.6943e+12   1.3316e+06    0.000  2.527e+04  2.581e+04  2.687e+04   2.74e+04
