=== cycle 138770  time 1742728.813024  dt 11.16660
   i        T[K]         rho          v_r         rt_de       delta_u
  49  6.6696e+02  4.9443e-10  -8.6117e+05   7.92066e-02  -4.03338e+00
  50  8.3384e+02  3.6890e-10  -8.5402e+05   7.06988e-02  -2.93683e+00
  51  1.5916e+03  2.4627e-10  -9.0157e+05  -1.82451e+01  -4.18978e+00
  52  7.9960e+03  1.0018e-10  -1.5713e+06  -5.78113e+00   2.28615e+02
  53  2.0000e+02  2.8777e-12  -1.0383e+07   2.61933e-03   2.38282e+02
  54  2.0000e+02  5.6720e-12  -1.6271e+06   4.98599e-03  -3.01821e-01
  55  8.1171e+02  1.5434e-11  -7.6035e+05   7.22297e-03   8.45222e-01
  56  1.8635e+03  1.8309e-11  -5.3224e+05   3.03876e+00   5.23267e+00
  57  1.8214e+03  1.4924e-11  -4.6406e+05   8.83206e-01   1.85487e+00
  58  1.8322e+03  9.8196e-12  -4.4536e+05   3.50287e-01   8.49817e-01
=== cycle 138796  time 1742897.752890  dt 1.24637
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.7006e+03  6.1424e-10  -8.8767e+05   9.38837e+00   1.12701e+01
  49  6.6493e+02  4.9321e-10  -8.6103e+05   6.69298e-02  -3.02953e+00
  50  8.4502e+02  3.6768e-10  -8.5444e+05   6.24611e-02  -2.31189e+00
  51  1.6014e+03  2.4451e-10  -9.1133e+05  -1.83850e+01  -1.44037e+00
  52  8.6746e+03  9.6341e-11  -1.6608e+06  -7.07155e+00   3.38278e+02
  53  2.0000e+02  2.0658e-12  -1.3806e+07   1.55486e-03   3.50271e+02
  54  2.0000e+02  6.1864e-12  -1.5521e+06   4.48538e-03   3.83301e-01
  55  1.0278e+03  1.5707e-11  -7.4954e+05   2.19983e-02   7.76246e-01
  56  1.9624e+03  1.8515e-11  -5.2579e+05   4.17093e+00   6.87034e+00
  57  1.8565e+03  1.5060e-11  -4.5813e+05   9.07500e-01   1.76661e+00
  58  1.8493e+03  9.9068e-12  -4.3979e+05   3.49036e-01   7.57379e-01
=== cycle 138797  time 1742898.999259  dt 0.94900
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.7952e+03  6.1291e-10  -8.8650e+05   1.37948e+01   1.95819e+01
  49  6.6438e+02  4.9230e-10  -8.6095e+05   5.74581e-02  -2.21776e+00
  50  8.5524e+02  3.6675e-10  -8.5478e+05   6.01245e-02  -1.73095e+00
  51  1.6404e+03  2.4314e-10  -9.2111e+05  -1.94838e+01   5.65445e-01
  52  1.0007e+04  9.3463e-11  -1.7483e+06  -1.15953e+01   4.82126e+02
  53  2.0000e+02  1.5134e-12  -1.8164e+07   9.79547e-04   4.64796e+02
  54  2.0000e+02  6.5912e-12  -1.5041e+06   4.03070e-03   4.63957e-01
  55  1.2932e+03  1.5912e-11  -7.4203e+05   8.76420e-01   1.57924e+00
  56  2.0829e+03  1.8672e-11  -5.2067e+05   6.04610e+00   9.44664e+00
  57  1.8871e+03  1.5164e-11  -4.5360e+05   9.93845e-01   1.75721e+00
  58  1.8646e+03  9.9737e-12  -4.3552e+05   4.09043e-01   7.43171e-01
=== cycle 138798  time 1742899.948256  dt 0.74492
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.9363e+03  6.1190e-10  -8.8546e+05   9.34028e+01   1.19245e+02
  49  6.6441e+02  4.9162e-10  -8.6090e+05   7.71717e-02  -1.61889e+00
  50  8.6583e+02  3.6605e-10  -8.5507e+05   1.46982e-01  -1.16016e+00
  51  1.6605e+03  2.4236e-10  -9.3344e+05  -2.01397e+01   4.52012e+00
  52  1.9733e+04  9.1030e-11  -1.8280e+06  -2.24498e+02   3.59200e+02
  53  2.0000e+02  1.1508e-12  -2.3168e+07   1.16212e-03   5.53714e+02
  54  2.0000e+02  6.9056e-12  -1.4711e+06   6.50426e-03   4.08026e-01
  55  1.6917e+03  1.6073e-11  -7.3878e+05   2.11986e+00   3.44777e+00
  56  5.5471e+03  1.8781e-11  -5.1513e+05   2.07226e+01   2.77357e+01
  57  1.9389e+03  1.5249e-11  -4.4983e+05   6.56682e+00   7.88492e+00
  58  1.8928e+03  1.0025e-11  -4.3221e+05   3.99731e+00   4.49451e+00
=== cycle 138799  time 1742900.693172  dt 0.60678
   i        T[K]         rho          v_r         rt_de       delta_u
  48  2.1273e+03  6.1111e-10  -8.8432e+05   6.23120e+01   1.17505e+02
  49  6.6766e+02  4.9109e-10  -8.6086e+05   5.12936e-02  -1.21183e+00
  50  8.8800e+02  3.6551e-10  -8.5536e+05   1.00764e-01  -6.91833e-01
  51  1.6304e+03  2.4177e-10  -9.4453e+05  -1.90562e+01  -2.16755e+00
  52  1.5353e+04  8.9049e-11  -1.9075e+06  -5.55525e+01   4.30757e+02
  53  2.0000e+02  9.1182e-13  -2.8466e+07   5.72089e-04   6.06919e+02
  54  2.0000e+02  7.1571e-12  -1.4467e+06   3.95946e-03   3.44373e-01
  55  1.8498e+03  1.6206e-11  -7.3947e+05   4.54917e+00   6.84552e+00
  56  7.1891e+03  1.8835e-11  -5.0952e+05   6.23284e+00   1.97747e+01
  57  2.5103e+03  1.5338e-11  -4.4550e+05   9.52436e+00   1.43908e+01
  58  2.2483e+03  1.0066e-11  -4.2928e+05   1.26951e+00   4.26687e+00
=== cycle 138800  time 1742901.299955  dt 0.52556
   i        T[K]         rho          v_r         rt_de       delta_u
  48  2.2460e+03  6.1047e-10  -8.8310e+05   2.74369e+02   3.58953e+02
  49  6.7711e+02  4.9065e-10  -8.6099e+05   1.48503e-01  -5.00783e-01
  50  9.5961e+02  3.6508e-10  -8.5553e+05   9.77443e-01   1.28139e+00
  51  1.6325e+03  2.4147e-10  -9.5833e+05  -1.90943e+01   2.14287e+00
  52  2.8261e+04  8.7186e-11  -1.9764e+06  -6.25838e+02  -1.19540e+02
  53  2.0000e+02  7.6565e-13  -3.2881e+07   1.94724e-03   5.55765e+02
  54  2.0000e+02  7.3665e-12  -1.4275e+06   1.77093e-02   2.96317e-01
  55  2.0252e+03  1.6315e-11  -7.4070e+05   9.47962e+00   1.34260e+01
  56  7.6056e+03  1.8888e-11  -5.0678e+05   4.70697e+01   6.55677e+01
  57  6.6509e+03  1.5396e-11  -4.4022e+05   2.45795e+01   3.28210e+01
  58  5.7988e+03  1.0098e-11  -4.2532e+05   1.02547e+01   1.42549e+01
